no,id_trx,tgl,id_item,nama_barang,kategori,jumlah
1,1289,"01 April 2025",2,"Kaos Kaki Avo","Barang Keluar",5
2,1290,"01 April 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",7
3,1291,"01 April 2025",3,"Jersey Mills","Barang Keluar",7
4,1292,"01 April 2025",6,"Sepatu Futsal","Barang Keluar",7
5,1814,"01 April 2025",7,"Bola Basket","Barang Keluar",5
6,1815,"01 April 2025",5,Piala,"Barang Keluar",5
7,812,"01 April 2025",3,"Jersey Mills","Barang Keluar",8
8,813,"01 April 2025",7,"Bola Basket","Barang Keluar",7
9,814,"01 April 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",6
10,423,"01 April 2025",1,"Sepatu Bola Ortus","Barang Keluar",6
11,424,"01 April 2025",6,"Sepatu Futsal","Barang Keluar",7
12,2512,"01 April 2025",1,"Sepatu Bola Ortus","Barang Keluar",6
13,2768,"01 April 2025",8,"Jersey Basket","Barang Keluar",8
14,2513,"01 April 2025",2,"Kaos Kaki Avo","Barang Keluar",7
15,2769,"01 April 2025",7,"Bola Basket","Barang Keluar",7
16,2514,"01 April 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",5
17,2770,"01 April 2025",3,"Jersey Mills","Barang Keluar",5
18,2771,"01 April 2025",5,Piala,"Barang Keluar",6
19,2844,"02 April 2025",1,"Sepatu Bola Ortus","Barang Keluar",7
20,2845,"02 April 2025",7,"Bola Basket","Barang Keluar",8
21,2846,"02 April 2025",3,"Jersey Mills","Barang Keluar",6
22,1062,"02 April 2025",6,"Sepatu Futsal","Barang Keluar",6
23,1063,"02 April 2025",1,"Sepatu Bola Ortus","Barang Keluar",8
24,1064,"02 April 2025",7,"Bola Basket","Barang Keluar",8
25,1065,"02 April 2025",8,"Jersey Basket","Barang Keluar",8
26,1583,"02 April 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",7
27,1584,"02 April 2025",1,"Sepatu Bola Ortus","Barang Keluar",8
28,2217,"02 April 2025",8,"Jersey Basket","Barang Keluar",6
29,2218,"02 April 2025",6,"Sepatu Futsal","Barang Keluar",7
30,2219,"02 April 2025",3,"Jersey Mills","Barang Keluar",5
31,2220,"02 April 2025",7,"Bola Basket","Barang Keluar",7
32,383,"03 April 2025",2,"Kaos Kaki Avo","Barang Keluar",5
33,384,"03 April 2025",3,"Jersey Mills","Barang Keluar",7
34,385,"03 April 2025",8,"Jersey Basket","Barang Keluar",8
35,386,"03 April 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",5
36,2261,"03 April 2025",2,"Kaos Kaki Avo","Barang Keluar",7
37,2262,"03 April 2025",6,"Sepatu Futsal","Barang Keluar",5
38,2864,"04 April 2025",5,Piala,"Barang Keluar",7
39,2865,"04 April 2025",1,"Sepatu Bola Ortus","Barang Keluar",7
40,2866,"04 April 2025",8,"Jersey Basket","Barang Keluar",8
41,336,"04 April 2025",7,"Bola Basket","Barang Keluar",8
42,337,"04 April 2025",6,"Sepatu Futsal","Barang Keluar",5
43,338,"04 April 2025",2,"Kaos Kaki Avo","Barang Keluar",6
44,339,"04 April 2025",3,"Jersey Mills","Barang Keluar",6
45,2402,"04 April 2025",6,"Sepatu Futsal","Barang Keluar",7
46,2403,"04 April 2025",3,"Jersey Mills","Barang Keluar",6
47,534,"05 April 2025",3,"Jersey Mills","Barang Keluar",7
48,535,"05 April 2025",1,"Sepatu Bola Ortus","Barang Keluar",5
49,309,"05 April 2025",8,"Jersey Basket","Barang Keluar",5
50,310,"05 April 2025",5,Piala,"Barang Keluar",7
51,1890,"05 April 2025",6,"Sepatu Futsal","Barang Keluar",7
52,1891,"05 April 2025",1,"Sepatu Bola Ortus","Barang Keluar",8
53,1892,"05 April 2025",8,"Jersey Basket","Barang Keluar",7
54,1893,"05 April 2025",3,"Jersey Mills","Barang Keluar",5
55,1225,"05 April 2025",1,"Sepatu Bola Ortus","Barang Keluar",6
56,1226,"05 April 2025",7,"Bola Basket","Barang Keluar",6
57,1227,"05 April 2025",5,Piala,"Barang Keluar",6
58,1228,"05 April 2025",6,"Sepatu Futsal","Barang Keluar",8
59,1009,"05 April 2025",8,"Jersey Basket","Barang Keluar",6
60,1010,"05 April 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",6
61,1011,"05 April 2025",1,"Sepatu Bola Ortus","Barang Keluar",6
62,1012,"05 April 2025",2,"Kaos Kaki Avo","Barang Keluar",8
63,2585,"06 April 2025",1,"Sepatu Bola Ortus","Barang Keluar",6
64,2586,"06 April 2025",7,"Bola Basket","Barang Keluar",8
65,2587,"06 April 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",8
66,2605,"06 April 2025",5,Piala,"Barang Keluar",8
67,2606,"06 April 2025",7,"Bola Basket","Barang Keluar",8
68,2607,"06 April 2025",3,"Jersey Mills","Barang Keluar",8
69,2608,"06 April 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",5
70,2668,"06 April 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",8
71,2669,"06 April 2025",7,"Bola Basket","Barang Keluar",5
72,2670,"06 April 2025",3,"Jersey Mills","Barang Keluar",5
73,2671,"06 April 2025",8,"Jersey Basket","Barang Keluar",8
