no,id_trx,tgl,id_item,nama_barang,kategori,jumlah
1,784,"01 August 2025",5,Piala,"Barang Keluar",8
2,785,"01 August 2025",6,"Sepatu Futsal","Barang Keluar",7
3,289,"01 August 2025",3,"Jersey Mills","Barang Keluar",8
4,290,"01 August 2025",8,"Jersey Basket","Barang Keluar",7
5,291,"01 August 2025",7,"Bola Basket","Barang Keluar",5
6,292,"01 August 2025",2,"Kaos Kaki Avo","Barang Keluar",6
7,1830,"01 August 2025",1,"Sepatu Bola Ortus","Barang Keluar",8
8,1831,"01 August 2025",8,"Jersey Basket","Barang Keluar",6
9,1128,"01 August 2025",1,"Sepatu Bola Ortus","Barang Keluar",5
10,1129,"01 August 2025",2,"Kaos Kaki Avo","Barang Keluar",8
11,903,"01 August 2025",3,"Jersey Mills","Barang Keluar",6
12,904,"01 August 2025",1,"Sepatu Bola Ortus","Barang Keluar",6
13,905,"01 August 2025",2,"Kaos Kaki Avo","Barang Keluar",6
14,2718,"01 August 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",7
15,2719,"01 August 2025",7,"Bola Basket","Barang Keluar",8
16,756,"01 August 2025",1,"Sepatu Bola Ortus","Barang Keluar",6
17,757,"01 August 2025",6,"Sepatu Futsal","Barang Keluar",8
18,758,"01 August 2025",8,"Jersey Basket","Barang Keluar",5
19,759,"01 August 2025",2,"Kaos Kaki Avo","Barang Keluar",7
20,909,"02 August 2025",8,"Jersey Basket","Barang Keluar",8
21,910,"02 August 2025",7,"Bola Basket","Barang Keluar",5
22,2487,"02 August 2025",5,Piala,"Barang Keluar",5
23,2488,"02 August 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",5
24,2489,"02 August 2025",7,"Bola Basket","Barang Keluar",8
25,2490,"02 August 2025",2,"Kaos Kaki Avo","Barang Keluar",6
26,660,"03 August 2025",7,"Bola Basket","Barang Keluar",7
27,661,"03 August 2025",1,"Sepatu Bola Ortus","Barang Keluar",7
28,344,"04 August 2025",3,"Jersey Mills","Barang Keluar",7
29,345,"04 August 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",7
30,346,"04 August 2025",1,"Sepatu Bola Ortus","Barang Keluar",5
31,347,"04 August 2025",5,Piala,"Barang Keluar",8
32,2698,"04 August 2025",3,"Jersey Mills","Barang Keluar",7
33,2699,"04 August 2025",1,"Sepatu Bola Ortus","Barang Keluar",7
34,2700,"04 August 2025",5,Piala,"Barang Keluar",7
35,425,"04 August 2025",6,"Sepatu Futsal","Barang Keluar",7
36,426,"04 August 2025",1,"Sepatu Bola Ortus","Barang Keluar",6
37,2218,"04 August 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",6
38,2219,"04 August 2025",1,"Sepatu Bola Ortus","Barang Keluar",7
39,940,"04 August 2025",8,"Jersey Basket","Barang Keluar",8
40,2220,"04 August 2025",8,"Jersey Basket","Barang Keluar",7
41,941,"04 August 2025",5,Piala,"Barang Keluar",8
42,2221,"04 August 2025",2,"Kaos Kaki Avo","Barang Keluar",8
43,1211,"04 August 2025",1,"Sepatu Bola Ortus","Barang Keluar",7
44,1212,"04 August 2025",2,"Kaos Kaki Avo","Barang Keluar",8
45,968,"04 August 2025",1,"Sepatu Bola Ortus","Barang Keluar",6
46,969,"04 August 2025",2,"Kaos Kaki Avo","Barang Keluar",8
47,1231,"04 August 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",8
48,1232,"04 August 2025",1,"Sepatu Bola Ortus","Barang Keluar",6
49,2259,"04 August 2025",5,Piala,"Barang Keluar",6
50,2260,"04 August 2025",7,"Bola Basket","Barang Keluar",6
51,2261,"04 August 2025",8,"Jersey Basket","Barang Keluar",6
52,2262,"04 August 2025",3,"Jersey Mills","Barang Keluar",7
