no,id_trx,tgl,id_item,nama_barang,kategori,jumlah
1,297,"01 February 2025",1,"Sepatu Bola Ortus","Barang Keluar",8
2,298,"01 February 2025",2,"Kaos Kaki Avo","Barang Keluar",8
3,299,"01 February 2025",7,"Bola Basket","Barang Keluar",7
4,300,"01 February 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",7
5,75,"01 February 2025",8,"Jersey Basket","Barang Keluar",6
6,76,"01 February 2025",5,Piala,"Barang Keluar",6
7,77,"01 February 2025",6,"Sepatu Futsal","Barang Keluar",6
8,78,"01 February 2025",2,"Kaos Kaki Avo","Barang Keluar",5
9,103,"01 February 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",5
10,104,"01 February 2025",6,"Sepatu Futsal","Barang Keluar",5
11,105,"01 February 2025",3,"Jersey Mills","Barang Keluar",5
12,106,"01 February 2025",2,"Kaos Kaki Avo","Barang Keluar",6
13,2237,"01 February 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",7
14,2238,"01 February 2025",1,"Sepatu Bola Ortus","Barang Keluar",8
15,2239,"01 February 2025",7,"Bola Basket","Barang Keluar",5
16,2508,"01 February 2025",3,"Jersey Mills","Barang Keluar",6
17,2509,"01 February 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",5
18,2293,"01 February 2025",7,"Bola Basket","Barang Keluar",7
19,2294,"01 February 2025",8,"Jersey Basket","Barang Keluar",6
20,2295,"01 February 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",7
21,2296,"01 February 2025",5,Piala,"Barang Keluar",8
22,2041,"01 February 2025",7,"Bola Basket","Barang Keluar",7
23,2042,"01 February 2025",8,"Jersey Basket","Barang Keluar",6
24,2043,"01 February 2025",3,"Jersey Mills","Barang Keluar",5
25,2044,"01 February 2025",5,Piala,"Barang Keluar",5
26,2079,"02 February 2025",6,"Sepatu Futsal","Barang Keluar",5
27,2080,"02 February 2025",1,"Sepatu Bola Ortus","Barang Keluar",5
28,545,"02 February 2025",1,"Sepatu Bola Ortus","Barang Keluar",5
29,546,"02 February 2025",2,"Kaos Kaki Avo","Barang Keluar",7
30,547,"02 February 2025",3,"Jersey Mills","Barang Keluar",7
31,548,"02 February 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",8
32,2384,"02 February 2025",6,"Sepatu Futsal","Barang Keluar",6
33,2385,"02 February 2025",5,Piala,"Barang Keluar",6
34,2386,"02 February 2025",2,"Kaos Kaki Avo","Barang Keluar",6
35,2387,"02 February 2025",1,"Sepatu Bola Ortus","Barang Keluar",8
36,2654,"02 February 2025",6,"Sepatu Futsal","Barang Keluar",6
37,2655,"02 February 2025",3,"Jersey Mills","Barang Keluar",8
38,2656,"02 February 2025",7,"Bola Basket","Barang Keluar",7
39,2440,"02 February 2025",3,"Jersey Mills","Barang Keluar",6
40,2441,"02 February 2025",1,"Sepatu Bola Ortus","Barang Keluar",5
41,2442,"02 February 2025",8,"Jersey Basket","Barang Keluar",8
42,1285,"03 February 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",8
43,1286,"03 February 2025",5,Piala,"Barang Keluar",6
44,1287,"03 February 2025",7,"Bola Basket","Barang Keluar",6
45,1288,"03 February 2025",6,"Sepatu Futsal","Barang Keluar",8
46,142,"03 February 2025",5,Piala,"Barang Keluar",6
47,143,"03 February 2025",3,"Jersey Mills","Barang Keluar",6
48,144,"03 February 2025",8,"Jersey Basket","Barang Keluar",5
49,1936,"03 February 2025",3,"Jersey Mills","Barang Keluar",6
50,145,"03 February 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",8
51,1937,"03 February 2025",1,"Sepatu Bola Ortus","Barang Keluar",8
52,2519,"03 February 2025",6,"Sepatu Futsal","Barang Keluar",6
53,2520,"03 February 2025",2,"Kaos Kaki Avo","Barang Keluar",7
54,2521,"03 February 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",5
55,1257,"03 February 2025",5,Piala,"Barang Keluar",6
56,1258,"03 February 2025",2,"Kaos Kaki Avo","Barang Keluar",5
57,1259,"03 February 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",6
58,1260,"03 February 2025",1,"Sepatu Bola Ortus","Barang Keluar",8
59,835,"04 February 2025",7,"Bola Basket","Barang Keluar",8
60,836,"04 February 2025",8,"Jersey Basket","Barang Keluar",7
61,837,"04 February 2025",3,"Jersey Mills","Barang Keluar",6
62,838,"04 February 2025",5,Piala,"Barang Keluar",8
63,2382,"04 February 2025",3,"Jersey Mills","Barang Keluar",5
64,2383,"04 February 2025",5,Piala,"Barang Keluar",8
65,2643,"04 February 2025",8,"Jersey Basket","Barang Keluar",6
66,2644,"04 February 2025",1,"Sepatu Bola Ortus","Barang Keluar",6
67,2933,"04 February 2025",7,"Bola Basket","Barang Keluar",7
68,2934,"04 February 2025",8,"Jersey Basket","Barang Keluar",6
69,2935,"04 February 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",6
70,184,"04 February 2025",1,"Sepatu Bola Ortus","Barang Keluar",7
71,185,"04 February 2025",5,Piala,"Barang Keluar",6
72,528,"05 February 2025",5,Piala,"Barang Keluar",6
73,529,"05 February 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",7
74,51,"05 February 2025",8,"Jersey Basket","Barang Keluar",7
75,52,"05 February 2025",2,"Kaos Kaki Avo","Barang Keluar",5
76,53,"05 February 2025",5,Piala,"Barang Keluar",8
77,54,"05 February 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",5
78,580,"05 February 2025",7,"Bola Basket","Barang Keluar",5
79,581,"05 February 2025",8,"Jersey Basket","Barang Keluar",8
80,605,"05 February 2025",7,"Bola Basket","Barang Keluar",5
81,606,"05 February 2025",8,"Jersey Basket","Barang Keluar",8
82,607,"05 February 2025",5,Piala,"Barang Keluar",6
83,1679,"05 February 2025",8,"Jersey Basket","Barang Keluar",6
84,1680,"05 February 2025",7,"Bola Basket","Barang Keluar",7
85,1681,"05 February 2025",2,"Kaos Kaki Avo","Barang Keluar",7
86,2724,"05 February 2025",6,"Sepatu Futsal","Barang Keluar",5
87,2725,"05 February 2025",3,"Jersey Mills","Barang Keluar",5
88,2726,"05 February 2025",7,"Bola Basket","Barang Keluar",5
89,2727,"05 February 2025",2,"Kaos Kaki Avo","Barang Keluar",5
90,219,"05 February 2025",8,"Jersey Basket","Barang Keluar",7
91,220,"05 February 2025",7,"Bola Basket","Barang Keluar",8
92,2597,"06 February 2025",7,"Bola Basket","Barang Keluar",7
93,2598,"06 February 2025",8,"Jersey Basket","Barang Keluar",8
94,24,"07 February 2025",3,"Jersey Mills","Barang Keluar",5
95,25,"07 February 2025",2,"Kaos Kaki Avo","Barang Keluar",5
96,1572,"07 February 2025",6,"Sepatu Futsal","Barang Keluar",5
97,1573,"07 February 2025",3,"Jersey Mills","Barang Keluar",6
98,1574,"07 February 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",5
99,1575,"07 February 2025",7,"Bola Basket","Barang Keluar",7
100,2091,"07 February 2025",1,"Sepatu Bola Ortus","Barang Keluar",6
101,2092,"07 February 2025",2,"Kaos Kaki Avo","Barang Keluar",7
102,2093,"07 February 2025",7,"Bola Basket","Barang Keluar",7
103,1071,"07 February 2025",1,"Sepatu Bola Ortus","Barang Keluar",7
104,1072,"07 February 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",5
105,1589,"07 February 2025",5,Piala,"Barang Keluar",8
106,1590,"07 February 2025",1,"Sepatu Bola Ortus","Barang Keluar",7
107,1591,"07 February 2025",2,"Kaos Kaki Avo","Barang Keluar",7
108,1592,"07 February 2025",6,"Sepatu Futsal","Barang Keluar",8
109,1340,"07 February 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",8
110,1341,"07 February 2025",6,"Sepatu Futsal","Barang Keluar",7
111,1342,"07 February 2025",8,"Jersey Basket","Barang Keluar",8
112,1343,"07 February 2025",5,Piala,"Barang Keluar",5
113,1599,"07 February 2025",7,"Bola Basket","Barang Keluar",8
114,1600,"07 February 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",7
115,1601,"07 February 2025",8,"Jersey Basket","Barang Keluar",7
116,631,"07 February 2025",7,"Bola Basket","Barang Keluar",8
117,632,"07 February 2025",5,Piala,"Barang Keluar",6
118,1427,"07 February 2025",8,"Jersey Basket","Barang Keluar",7
119,1428,"07 February 2025",2,"Kaos Kaki Avo","Barang Keluar",8
120,1429,"07 February 2025",6,"Sepatu Futsal","Barang Keluar",8
121,1430,"07 February 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",8
122,160,"07 February 2025",7,"Bola Basket","Barang Keluar",7
123,161,"07 February 2025",3,"Jersey Mills","Barang Keluar",6
124,162,"07 February 2025",8,"Jersey Basket","Barang Keluar",7
125,163,"07 February 2025",6,"Sepatu Futsal","Barang Keluar",7
126,1314,"08 February 2025",3,"Jersey Mills","Barang Keluar",7
127,1315,"08 February 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",6
128,2234,"08 February 2025",6,"Sepatu Futsal","Barang Keluar",5
129,2235,"08 February 2025",1,"Sepatu Bola Ortus","Barang Keluar",7
130,2236,"08 February 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",7
131,81,"09 February 2025",3,"Jersey Mills","Barang Keluar",6
132,82,"09 February 2025",7,"Bola Basket","Barang Keluar",8
133,1394,"09 February 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",5
134,1395,"09 February 2025",7,"Bola Basket","Barang Keluar",6
135,1396,"09 February 2025",8,"Jersey Basket","Barang Keluar",6
