no,id_trx,tgl,id_item,nama_barang,kategori,jumlah
1,8477,"01 July 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",50
2,8478,"01 July 2025",11,"Sepatu Lari Mills","Barang Keluar",2
3,8479,"01 July 2025",2,"Kaos Kaki Avo","Barang Keluar",100
4,8480,"01 July 2025",3,"Jersey Mills","Barang Keluar",2
5,8481,"01 July 2025",1,"Sepatu Bola Ortus","Barang Keluar",3
6,8482,"01 July 2025",2,"Kaos Kaki Avo","Barang Keluar",100
7,8483,"01 July 2025",11,"Sepatu Lari Mills","Barang Keluar",1
8,8484,"01 July 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",3
9,8485,"01 July 2025",3,"Jersey Mills","Barang Keluar",3
10,8486,"01 July 2025",1,"Sepatu Bola Ortus","Barang Keluar",1
11,8487,"01 July 2025",2,"Kaos Kaki Avo","Barang Keluar",100
12,8488,"01 July 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",2
13,8489,"01 July 2025",3,"Jersey Mills","Barang Keluar",3
14,8490,"01 July 2025",11,"Sepatu Lari Mills","Barang Keluar",24
15,8491,"01 July 2025",1,"Sepatu Bola Ortus","Barang Keluar",24
16,8492,"01 July 2025",2,"Kaos Kaki Avo","Barang Keluar",1
17,8493,"01 July 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",2
18,8494,"01 July 2025",3,"Jersey Mills","Barang Keluar",30
19,8495,"01 July 2025",1,"Sepatu Bola Ortus","Barang Keluar",3
20,8496,"01 July 2025",11,"Sepatu Lari Mills","Barang Keluar",1
21,8497,"01 July 2025",2,"Kaos Kaki Avo","Barang Keluar",100
22,8498,"01 July 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",2
23,8499,"01 July 2025",3,"Jersey Mills","Barang Keluar",3
24,8500,"01 July 2025",1,"Sepatu Bola Ortus","Barang Keluar",1
25,8501,"01 July 2025",2,"Kaos Kaki Avo","Barang Keluar",100
26,8502,"01 July 2025",11,"Sepatu Lari Mills","Barang Keluar",2
27,8503,"01 July 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",3
28,8504,"01 July 2025",3,"Jersey Mills","Barang Keluar",30
29,8505,"01 July 2025",1,"Sepatu Bola Ortus","Barang Keluar",1
30,8506,"01 July 2025",2,"Kaos Kaki Avo","Barang Keluar",2
31,8507,"02 July 2025",11,"Sepatu Lari Mills","Barang Keluar",3
