no,id_trx,tgl,id_item,nama_barang,kategori,jumlah
1,1067,"01 June 2025",8,"Jersey Basket","Barang Keluar",1
2,1068,"01 June 2025",2,"Kaos Kaki Avo","Barang Keluar",5
3,1069,"01 June 2025",3,"Jersey Mills","Barang Keluar",1
4,1070,"01 June 2025",1,"Sepatu Bola Ortus","Barang Keluar",2
5,1071,"01 June 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",4
6,1072,"01 June 2025",3,"Jersey Mills","Barang Keluar",2
7,1073,"01 June 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",1
8,1074,"01 June 2025",6,"Sepatu Futsal","Barang Keluar",2
9,1075,"01 June 2025",8,"Jersey Basket","Barang Keluar",1
10,1076,"01 June 2025",8,"Jersey Basket","Barang Keluar",1
11,1077,"01 June 2025",5,Piala,"Barang Keluar",1
12,1078,"01 June 2025",3,"Jersey Mills","Barang Keluar",2
13,1079,"01 June 2025",7,"Bola Basket","Barang Keluar",1
14,1080,"01 June 2025",5,Piala,"Barang Keluar",1
15,1081,"01 June 2025",6,"Sepatu Futsal","Barang Keluar",2
16,1082,"01 June 2025",1,"Sepatu Bola Ortus","Barang Keluar",2
17,1083,"01 June 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",2
18,1084,"01 June 2025",2,"Kaos Kaki Avo","Barang Keluar",5
19,1085,"01 June 2025",5,Piala,"Barang Keluar",1
20,1086,"01 June 2025",8,"Jersey Basket","Barang Keluar",1
21,1087,"01 June 2025",5,Piala,"Barang Keluar",1
22,1088,"01 June 2025",3,"Jersey Mills","Barang Keluar",2
23,1089,"01 June 2025",6,"Sepatu Futsal","Barang Keluar",2
24,1090,"01 June 2025",8,"Jersey Basket","Barang Keluar",1
25,1091,"01 June 2025",2,"Kaos Kaki Avo","Barang Keluar",1
26,1092,"01 June 2025",5,Piala,"Barang Keluar",1
27,1093,"01 June 2025",8,"Jersey Basket","Barang Keluar",1
28,1094,"01 June 2025",2,"Kaos Kaki Avo","Barang Keluar",4
29,1095,"01 June 2025",3,"Jersey Mills","Barang Keluar",2
30,1096,"01 June 2025",2,"Kaos Kaki Avo","Barang Keluar",2
31,1097,"01 June 2025",7,"Bola Basket","Barang Keluar",2
32,1098,"01 June 2025",6,"Sepatu Futsal","Barang Keluar",2
33,1099,"01 June 2025",3,"Jersey Mills","Barang Keluar",2
34,1100,"01 June 2025",8,"Jersey Basket","Barang Keluar",1
35,1101,"01 June 2025",7,"Bola Basket","Barang Keluar",1
36,1102,"02 June 2025",6,"Sepatu Futsal","Barang Keluar",2
37,1103,"02 June 2025",3,"Jersey Mills","Barang Keluar",1
38,1104,"02 June 2025",5,Piala,"Barang Keluar",1
39,1105,"02 June 2025",5,Piala,"Barang Keluar",1
40,1106,"02 June 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",5
41,1107,"02 June 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",2
42,1108,"02 June 2025",3,"Jersey Mills","Barang Keluar",2
43,1109,"02 June 2025",2,"Kaos Kaki Avo","Barang Keluar",2
44,1110,"02 June 2025",6,"Sepatu Futsal","Barang Keluar",1
45,1111,"02 June 2025",7,"Bola Basket","Barang Keluar",1
46,1112,"02 June 2025",2,"Kaos Kaki Avo","Barang Keluar",4
47,1113,"02 June 2025",3,"Jersey Mills","Barang Keluar",1
48,1114,"02 June 2025",1,"Sepatu Bola Ortus","Barang Keluar",1
49,1115,"02 June 2025",2,"Kaos Kaki Avo","Barang Keluar",2
50,1116,"02 June 2025",7,"Bola Basket","Barang Keluar",2
51,1117,"02 June 2025",8,"Jersey Basket","Barang Keluar",1
52,1118,"02 June 2025",1,"Sepatu Bola Ortus","Barang Keluar",2
53,1119,"02 June 2025",2,"Kaos Kaki Avo","Barang Keluar",5
54,1120,"02 June 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",3
55,1121,"02 June 2025",3,"Jersey Mills","Barang Keluar",2
56,1122,"02 June 2025",3,"Jersey Mills","Barang Keluar",1
57,1123,"02 June 2025",1,"Sepatu Bola Ortus","Barang Keluar",1
58,1124,"02 June 2025",6,"Sepatu Futsal","Barang Keluar",1
59,1125,"02 June 2025",1,"Sepatu Bola Ortus","Barang Keluar",1
60,1126,"02 June 2025",2,"Kaos Kaki Avo","Barang Keluar",2
61,1127,"02 June 2025",8,"Jersey Basket","Barang Keluar",1
62,1128,"02 June 2025",1,"Sepatu Bola Ortus","Barang Keluar",1
63,1129,"02 June 2025",2,"Kaos Kaki Avo","Barang Keluar",4
64,1130,"02 June 2025",8,"Jersey Basket","Barang Keluar",1
65,1131,"02 June 2025",7,"Bola Basket","Barang Keluar",1
66,1132,"02 June 2025",8,"Jersey Basket","Barang Keluar",1
67,1133,"02 June 2025",7,"Bola Basket","Barang Keluar",1
68,1134,"02 June 2025",8,"Jersey Basket","Barang Keluar",1
69,1135,"02 June 2025",1,"Sepatu Bola Ortus","Barang Keluar",1
70,1136,"02 June 2025",3,"Jersey Mills","Barang Keluar",1
71,1137,"03 June 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",4
72,1138,"03 June 2025",6,"Sepatu Futsal","Barang Keluar",3
73,1139,"03 June 2025",7,"Bola Basket","Barang Keluar",1
74,1140,"03 June 2025",5,Piala,"Barang Keluar",3
75,1141,"03 June 2025",8,"Jersey Basket","Barang Keluar",1
76,1142,"03 June 2025",1,"Sepatu Bola Ortus","Barang Keluar",2
77,1143,"03 June 2025",3,"Jersey Mills","Barang Keluar",3
78,1144,"03 June 2025",1,"Sepatu Bola Ortus","Barang Keluar",5
79,1145,"03 June 2025",8,"Jersey Basket","Barang Keluar",4
80,1146,"03 June 2025",7,"Bola Basket","Barang Keluar",1
81,1147,"03 June 2025",7,"Bola Basket","Barang Keluar",1
82,1148,"03 June 2025",5,Piala,"Barang Keluar",1
83,1149,"03 June 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",3
84,1150,"03 June 2025",6,"Sepatu Futsal","Barang Keluar",1
85,1151,"03 June 2025",7,"Bola Basket","Barang Keluar",1
86,1152,"03 June 2025",1,"Sepatu Bola Ortus","Barang Keluar",1
87,1153,"03 June 2025",6,"Sepatu Futsal","Barang Keluar",5
88,1154,"03 June 2025",8,"Jersey Basket","Barang Keluar",2
89,1155,"03 June 2025",1,"Sepatu Bola Ortus","Barang Keluar",1
90,1156,"03 June 2025",2,"Kaos Kaki Avo","Barang Keluar",2
91,1157,"03 June 2025",6,"Sepatu Futsal","Barang Keluar",1
92,1158,"03 June 2025",7,"Bola Basket","Barang Keluar",1
93,1159,"03 June 2025",1,"Sepatu Bola Ortus","Barang Keluar",5
94,1160,"03 June 2025",5,Piala,"Barang Keluar",4
95,1161,"03 June 2025",8,"Jersey Basket","Barang Keluar",4
96,1162,"03 June 2025",6,"Sepatu Futsal","Barang Keluar",3
97,1163,"03 June 2025",7,"Bola Basket","Barang Keluar",1
98,1164,"03 June 2025",8,"Jersey Basket","Barang Keluar",1
