no,id_trx,tgl,id_item,nama_barang,kategori,jumlah
1,624,"01 March 2025",8,"Jersey Basket","Barang Keluar",6
2,625,"01 March 2025",1,"Sepatu Bola Ortus","Barang Keluar",6
3,626,"01 March 2025",3,"Jersey Mills","Barang Keluar",8
4,2955,"01 March 2025",7,"Bola Basket","Barang Keluar",6
5,2956,"01 March 2025",8,"Jersey Basket","Barang Keluar",6
6,2957,"01 March 2025",5,Piala,"Barang Keluar",5
7,2958,"01 March 2025",6,"Sepatu Futsal","Barang Keluar",5
8,414,"01 March 2025",8,"Jersey Basket","Barang Keluar",5
9,415,"01 March 2025",7,"Bola Basket","Barang Keluar",6
10,1823,"02 March 2025",1,"Sepatu Bola Ortus","Barang Keluar",7
11,1824,"02 March 2025",8,"Jersey Basket","Barang Keluar",5
12,1825,"02 March 2025",6,"Sepatu Futsal","Barang Keluar",5
13,1064,"02 March 2025",5,Piala,"Barang Keluar",7
14,1065,"02 March 2025",8,"Jersey Basket","Barang Keluar",7
15,1066,"02 March 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",5
16,1067,"02 March 2025",7,"Bola Basket","Barang Keluar",8
17,564,"02 March 2025",3,"Jersey Mills","Barang Keluar",6
18,565,"02 March 2025",5,Piala,"Barang Keluar",6
19,566,"02 March 2025",1,"Sepatu Bola Ortus","Barang Keluar",5
20,567,"02 March 2025",8,"Jersey Basket","Barang Keluar",5
21,1144,"02 March 2025",2,"Kaos Kaki Avo","Barang Keluar",7
22,1145,"02 March 2025",1,"Sepatu Bola Ortus","Barang Keluar",6
23,2511,"02 March 2025",3,"Jersey Mills","Barang Keluar",8
24,2512,"02 March 2025",8,"Jersey Basket","Barang Keluar",6
25,2513,"02 March 2025",1,"Sepatu Bola Ortus","Barang Keluar",7
26,2514,"02 March 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",8
27,1109,"03 March 2025",6,"Sepatu Futsal","Barang Keluar",6
28,1110,"03 March 2025",5,Piala,"Barang Keluar",5
29,1111,"03 March 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",7
30,376,"03 March 2025",7,"Bola Basket","Barang Keluar",5
31,377,"03 March 2025",2,"Kaos Kaki Avo","Barang Keluar",5
32,378,"03 March 2025",8,"Jersey Basket","Barang Keluar",6
33,379,"03 March 2025",1,"Sepatu Bola Ortus","Barang Keluar",7
34,136,"03 March 2025",7,"Bola Basket","Barang Keluar",6
35,137,"03 March 2025",8,"Jersey Basket","Barang Keluar",5
36,138,"03 March 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",8
37,496,"03 March 2025",1,"Sepatu Bola Ortus","Barang Keluar",5
38,497,"03 March 2025",2,"Kaos Kaki Avo","Barang Keluar",8
39,498,"03 March 2025",3,"Jersey Mills","Barang Keluar",6
40,1037,"04 March 2025",5,Piala,"Barang Keluar",8
41,1038,"04 March 2025",6,"Sepatu Futsal","Barang Keluar",5
42,1039,"04 March 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",5
43,1040,"04 March 2025",8,"Jersey Basket","Barang Keluar",8
44,2586,"04 March 2025",6,"Sepatu Futsal","Barang Keluar",8
45,2587,"04 March 2025",3,"Jersey Mills","Barang Keluar",6
46,2588,"04 March 2025",7,"Bola Basket","Barang Keluar",5
47,2589,"04 March 2025",2,"Kaos Kaki Avo","Barang Keluar",5
48,249,"04 March 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",6
