no,id_trx,tgl,id_item,nama_barang,kategori,jumlah
1,1,"01 May 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",5
2,2,"01 May 2025",7,"Bola Basket","Barang Keluar",3
3,3,"01 May 2025",3,"Jersey Mills","Barang Keluar",2
4,4,"01 May 2025",8,"Jersey Basket","Barang Keluar",5
5,5,"01 May 2025",5,Piala,"Barang Keluar",4
6,6,"01 May 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",2
7,7,"01 May 2025",8,"Jersey Basket","Barang Keluar",4
8,8,"01 May 2025",7,"Bola Basket","Barang Keluar",2
9,9,"01 May 2025",7,"Bola Basket","Barang Keluar",2
10,10,"01 May 2025",8,"Jersey Basket","Barang Keluar",2
11,11,"01 May 2025",6,"Sepatu Futsal","Barang Keluar",1
12,12,"01 May 2025",6,"Sepatu Futsal","Barang Keluar",5
13,13,"01 May 2025",8,"Jersey Basket","Barang Keluar",5
14,14,"01 May 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",5
15,15,"01 May 2025",7,"Bola Basket","Barang Keluar",4
16,16,"01 May 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",2
17,17,"01 May 2025",6,"Sepatu Futsal","Barang Keluar",5
18,18,"01 May 2025",1,"Sepatu Bola Ortus","Barang Keluar",2
19,19,"01 May 2025",6,"Sepatu Futsal","Barang Keluar",1
20,20,"01 May 2025",3,"Jersey Mills","Barang Keluar",4
21,21,"01 May 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",1
22,22,"01 May 2025",7,"Bola Basket","Barang Keluar",4
23,23,"01 May 2025",3,"Jersey Mills","Barang Keluar",3
24,24,"01 May 2025",5,Piala,"Barang Keluar",2
25,25,"01 May 2025",6,"Sepatu Futsal","Barang Keluar",1
26,26,"01 May 2025",5,Piala,"Barang Keluar",5
27,27,"01 May 2025",2,"Kaos Kaki Avo","Barang Keluar",4
28,28,"01 May 2025",6,"Sepatu Futsal","Barang Keluar",1
29,29,"01 May 2025",2,"Kaos Kaki Avo","Barang Keluar",5
30,30,"01 May 2025",7,"Bola Basket","Barang Keluar",2
31,31,"01 May 2025",3,"Jersey Mills","Barang Keluar",2
32,32,"01 May 2025",5,Piala,"Barang Keluar",2
33,33,"01 May 2025",2,"Kaos Kaki Avo","Barang Keluar",3
34,34,"01 May 2025",5,Piala,"Barang Keluar",3
35,35,"01 May 2025",8,"Jersey Basket","Barang Keluar",2
36,36,"01 May 2025",5,Piala,"Barang Keluar",3
37,37,"01 May 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",1
38,38,"01 May 2025",3,"Jersey Mills","Barang Keluar",1
39,39,"02 May 2025",7,"Bola Basket","Barang Keluar",3
40,40,"02 May 2025",8,"Jersey Basket","Barang Keluar",5
41,41,"02 May 2025",3,"Jersey Mills","Barang Keluar",1
42,42,"02 May 2025",1,"Sepatu Bola Ortus","Barang Keluar",1
43,43,"02 May 2025",3,"Jersey Mills","Barang Keluar",1
44,44,"02 May 2025",5,Piala,"Barang Keluar",3
45,45,"02 May 2025",7,"Bola Basket","Barang Keluar",5
46,46,"02 May 2025",8,"Jersey Basket","Barang Keluar",2
47,47,"02 May 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",2
48,48,"02 May 2025",1,"Sepatu Bola Ortus","Barang Keluar",5
49,49,"02 May 2025",8,"Jersey Basket","Barang Keluar",1
50,50,"02 May 2025",4,"Tali Sepatu Kipzkapz","Barang Keluar",4
51,51,"02 May 2025",3,"Jersey Mills","Barang Keluar",5
52,52,"02 May 2025",8,"Jersey Basket","Barang Keluar",3
53,53,"02 May 2025",3,"Jersey Mills","Barang Keluar",5
54,54,"02 May 2025",1,"Sepatu Bola Ortus","Barang Keluar",2
55,55,"02 May 2025",6,"Sepatu Futsal","Barang Keluar",3
56,56,"02 May 2025",3,"Jersey Mills","Barang Keluar",2
57,57,"02 May 2025",2,"Kaos Kaki Avo","Barang Keluar",2
58,58,"02 May 2025",7,"Bola Basket","Barang Keluar",3
59,59,"02 May 2025",2,"Kaos Kaki Avo","Barang Keluar",4
60,60,"02 May 2025",6,"Sepatu Futsal","Barang Keluar",4
61,61,"02 May 2025",1,"Sepatu Bola Ortus","Barang Keluar",1
62,62,"02 May 2025",2,"Kaos Kaki Avo","Barang Keluar",1
63,63,"02 May 2025",3,"Jersey Mills","Barang Keluar",4
64,64,"03 May 2025",5,Piala,"Barang Keluar",1
65,65,"03 May 2025",7,"Bola Basket","Barang Keluar",1
