item_id,product_name,category,date,quantity,month,year,day_of_week,is_weekend,season
92,"Sepatu Bola Ortus",Sepatu,2024-10-09,25,10,2024,3,0,autumn
115,"Jaket Parasut Eiger Windproof",Pakaian,2024-10-09,18,10,2024,3,0,autumn
102,"Grip Raket Victor GR200",Aksesoris,2024-10-10,99,10,2024,4,0,autumn
98,"Sepatu Lari Mills",Sepatu,2024-10-10,20,10,2024,4,0,autumn
93,"Kaos Kaki Avo",Aksesoris,2024-10-10,87,10,2024,4,0,autumn
94,"Jersey Mills",Pakaian,2024-10-11,65,10,2024,5,0,autumn
97,"Sepatu Futsal LS Reborn",Sepatu,2024-10-11,25,10,2024,5,0,autumn
105,"Botol Minum Eiger Hydro",Aksesoris,2024-10-11,45,10,2024,5,0,autumn
95,"Tali Sepatu KipzKapz",Aksesoris,2024-10-12,89,10,2024,6,1,autumn
109,"Sepatu Badminton Victor A970",Sepatu,2024-10-12,12,10,2024,6,1,autumn
93,"Kaos Kaki Avo",Aksesoris,2024-10-13,92,10,2024,0,1,autumn
92,"Sepatu Bola Ortus",Sepatu,2024-10-13,30,10,2024,0,1,autumn
99,"Topi Lari Adidas Aeroready",Aksesoris,2024-10-13,22,10,2024,0,1,autumn
94,"Jersey Mills",Pakaian,2024-10-14,50,10,2024,1,0,autumn
104,"Baju Lari Nike Dri-Fit",Pakaian,2024-10-14,40,10,2024,1,0,autumn
98,"Sepatu Lari Mills",Sepatu,2024-10-15,25,10,2024,2,0,autumn
118,Piala,Aksesoris,2024-10-15,40,10,2024,2,0,autumn
95,"Tali Sepatu KipzKapz",Aksesoris,2024-10-15,86,10,2024,2,0,autumn
93,"Kaos Kaki Avo",Aksesoris,2024-10-16,93,10,2024,3,0,autumn
97,"Sepatu Futsal LS Reborn",Sepatu,2024-10-16,20,10,2024,3,0,autumn
114,"Sarung Tangan Kiper Specs Illuzion",Aksesoris,2024-10-16,15,10,2024,3,0,autumn
92,"Sepatu Bola Ortus",Sepatu,2024-10-17,28,10,2024,4,0,autumn
94,"Jersey Mills",Pakaian,2024-10-17,55,10,2024,4,0,autumn
95,"Tali Sepatu KipzKapz",Aksesoris,2024-10-18,95,10,2024,5,0,autumn
100,"Raket Badminton Yonex Astrox 99",Peralatan,2024-10-18,8,10,2024,5,0,autumn
93,"Kaos Kaki Avo",Aksesoris,2024-10-19,98,10,2024,6,1,autumn
98,"Sepatu Lari Mills",Sepatu,2024-10-19,30,10,2024,6,1,autumn
97,"Sepatu Futsal LS Reborn",Sepatu,2024-10-20,25,10,2024,0,1,autumn
94,"Jersey Mills",Pakaian,2024-10-20,40,10,2024,0,1,autumn
112,"Sepatu Basket Adidas Harden Vol. 8",Sepatu,2024-10-20,10,10,2024,0,1,autumn
102,"Grip Raket Victor GR200",Aksesoris,2024-10-21,99,10,2024,1,0,autumn
95,"Tali Sepatu KipzKapz",Aksesoris,2024-10-21,91,10,2024,1,0,autumn
